Exp,Model,Config,Accuracy,Precision,Recall,F1-Score,ROC-AUC
1,SVM,"SVM Exp 1 (Linear, C=0.01)",0.8666666666666667,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.9609375
2,SVM,"SVM Exp 2 (Linear, C=1.0)",0.85,0.88,0.7857142857142857,0.8301886792452831,0.953125
3,SVM,"SVM Exp 3 (RBF, C=1.0, gamma='scale')",0.85,0.88,0.7857142857142857,0.8301886792452831,0.9542410714285714
4,SVM,"SVM Exp 4 (RBF, C=10.0, gamma=0.01)",0.85,0.88,0.7857142857142857,0.8301886792452831,0.9564732142857143
5,SVM,"SVM Exp 5 (Poly deg=3, C=1.0)",0.85,0.88,0.7857142857142857,0.8301886792452831,0.9363839285714286
1,XGBoost,"XGB Exp 1 (n_est=50, depth=3, lr=0.01)",0.8166666666666667,0.9047619047619048,0.6785714285714286,0.7755102040816326,0.9185267857142857
2,XGBoost,"XGB Exp 2 (n_est=100, depth=3, lr=0.1)",0.8166666666666667,0.84,0.75,0.7924528301886793,0.9029017857142857
3,XGBoost,"XGB Exp 3 (n_est=100, depth=5, lr=0.1)",0.8333333333333334,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.9140625
4,XGBoost,"XGB Exp 4 (n_est=200, depth=4, lr=0.05, sub=0.8)",0.8666666666666667,0.8846153846153846,0.8214285714285714,0.8518518518518519,0.9207589285714286
5,XGBoost,"XGB Exp 5 (n_est=300, depth=6, lr=0.01, sub=0.9, col=0.8)",0.85,0.88,0.7857142857142857,0.8301886792452831,0.9174107142857143
